1: Feb  6 22:17:01 intranet-server CRON[21451]: pam_unix(cron:session): session closed for user root
2: Feb  6 22:39:01 intranet-server CRON[21460]: pam_unix(cron:session): session opened for user root by (uid=0)
3: Feb  6 22:39:01 intranet-server CRON[21460]: pam_unix(cron:session): session closed for user root
4: Feb  6 23:09:01 intranet-server CRON[21620]: pam_unix(cron:session): session opened for user root by (uid=0)
5: Feb  6 23:09:01 intranet-server CRON[21620]: pam_unix(cron:session): session closed for user root
6: Feb  6 23:17:01 intranet-server CRON[21693]: pam_unix(cron:session): session opened for user root by (uid=0)
7: Feb  6 23:17:01 intranet-server CRON[21693]: pam_unix(cron:session): session closed for user root
8: Feb  6 23:39:01 intranet-server CRON[21698]: pam_unix(cron:session): session opened for user root by (uid=0)
9: Feb  6 23:39:01 intranet-server CRON[21698]: pam_unix(cron:session): session closed for user root
10: Feb  7 00:09:01 intranet-server CRON[21782]: pam_unix(cron:session): session opened for user root by (uid=0)
11: Feb  7 00:09:01 intranet-server CRON[21782]: pam_unix(cron:session): session closed for user root
12: Feb  7 00:17:01 intranet-server CRON[21849]: pam_unix(cron:session): session opened for user root by (uid=0)
13: Feb  7 00:17:01 intranet-server CRON[21849]: pam_unix(cron:session): session closed for user root
14: Feb  7 00:39:01 intranet-server CRON[21860]: pam_unix(cron:session): session opened for user root by (uid=0)
15: Feb  7 00:39:01 intranet-server CRON[21860]: pam_unix(cron:session): session closed for user root
16: Feb  7 01:09:01 intranet-server CRON[21934]: pam_unix(cron:session): session opened for user root by (uid=0)
17: Feb  7 01:09:01 intranet-server CRON[21934]: pam_unix(cron:session): session closed for user root
18: Feb  7 01:17:02 intranet-server CRON[22030]: pam_unix(cron:session): session opened for user root by (uid=0)
19: Feb  7 01:17:02 intranet-server CRON[22030]: pam_unix(cron:session): session closed for user root
20: Feb  7 01:39:01 intranet-server CRON[22035]: pam_unix(cron:session): session opened for user root by (uid=0)
21: Feb  7 01:39:01 intranet-server CRON[22035]: pam_unix(cron:session): session closed for user root
22: Feb  7 02:09:01 intranet-server CRON[22110]: pam_unix(cron:session): session opened for user root by (uid=0)
23: Feb  7 02:09:01 intranet-server CRON[22110]: pam_unix(cron:session): session closed for user root
24: Feb  7 02:17:01 intranet-server CRON[22177]: pam_unix(cron:session): session opened for user root by (uid=0)
25: Feb  7 02:17:01 intranet-server CRON[22177]: pam_unix(cron:session): session closed for user root
26: Feb  7 02:39:01 intranet-server CRON[22183]: pam_unix(cron:session): session opened for user root by (uid=0)
27: Feb  7 02:39:01 intranet-server CRON[22183]: pam_unix(cron:session): session closed for user root
28: Feb  7 03:09:01 intranet-server CRON[22254]: pam_unix(cron:session): session opened for user root by (uid=0)
29: Feb  7 03:09:01 intranet-server CRON[22254]: pam_unix(cron:session): session closed for user root
30: Feb  7 03:17:01 intranet-server CRON[22330]: pam_unix(cron:session): session opened for user root by (uid=0)
31: Feb  7 03:17:01 intranet-server CRON[22330]: pam_unix(cron:session): session closed for user root
32: Feb  7 03:39:01 intranet-server CRON[22377]: pam_unix(cron:session): session opened for user root by (uid=0)
33: Feb  7 03:39:01 intranet-server CRON[22377]: pam_unix(cron:session): session closed for user root
34: Feb  7 04:09:01 intranet-server CRON[22452]: pam_unix(cron:session): session opened for user root by (uid=0)
35: Feb  7 04:09:01 intranet-server CRON[22452]: pam_unix(cron:session): session closed for user root
36: Feb  7 04:17:01 intranet-server CRON[22519]: pam_unix(cron:session): session opened for user root by (uid=0)
37: Feb  7 04:17:01 intranet-server CRON[22519]: pam_unix(cron:session): session closed for user root
38: Feb  7 04:39:01 intranet-server CRON[22525]: pam_unix(cron:session): session opened for user root by (uid=0)
39: Feb  7 04:39:01 intranet-server CRON[22525]: pam_unix(cron:session): session closed for user root
