1: Feb  6 15:17:01 intranet-server CRON[20262]: pam_unix(cron:session): session closed for user root
2: Feb  6 15:39:01 intranet-server CRON[20305]: pam_unix(cron:session): session opened for user root by (uid=0)
3: Feb  6 15:39:01 intranet-server CRON[20305]: pam_unix(cron:session): session closed for user root
4: Feb  6 16:09:01 intranet-server CRON[20374]: pam_unix(cron:session): session opened for user root by (uid=0)
5: Feb  6 16:09:01 intranet-server CRON[20374]: pam_unix(cron:session): session closed for user root
6: Feb  6 16:17:01 intranet-server CRON[20442]: pam_unix(cron:session): session opened for user root by (uid=0)
7: Feb  6 16:17:01 intranet-server CRON[20442]: pam_unix(cron:session): session closed for user root
8: Feb  6 16:39:01 intranet-server CRON[20451]: pam_unix(cron:session): session opened for user root by (uid=0)
9: Feb  6 16:39:01 intranet-server CRON[20451]: pam_unix(cron:session): session closed for user root
10: Feb  6 17:09:01 intranet-server CRON[20529]: pam_unix(cron:session): session opened for user root by (uid=0)
11: Feb  6 17:09:01 intranet-server CRON[20529]: pam_unix(cron:session): session closed for user root
12: Feb  6 17:17:02 intranet-server CRON[20598]: pam_unix(cron:session): session opened for user root by (uid=0)
13: Feb  6 17:17:02 intranet-server CRON[20598]: pam_unix(cron:session): session closed for user root
14: Feb  6 17:39:01 intranet-server CRON[20608]: pam_unix(cron:session): session opened for user root by (uid=0)
15: Feb  6 17:39:01 intranet-server CRON[20608]: pam_unix(cron:session): session closed for user root
16: Feb  6 18:09:01 intranet-server CRON[20678]: pam_unix(cron:session): session opened for user root by (uid=0)
17: Feb  6 18:09:01 intranet-server CRON[20678]: pam_unix(cron:session): session closed for user root
18: Feb  6 18:17:01 intranet-server CRON[20747]: pam_unix(cron:session): session opened for user root by (uid=0)
19: Feb  6 18:17:01 intranet-server CRON[20747]: pam_unix(cron:session): session closed for user root
20: Feb  6 18:39:01 intranet-server CRON[20766]: pam_unix(cron:session): session opened for user root by (uid=0)
21: Feb  6 18:39:01 intranet-server CRON[20766]: pam_unix(cron:session): session closed for user root
22: Feb  6 19:09:01 intranet-server CRON[20860]: pam_unix(cron:session): session opened for user root by (uid=0)
23: Feb  6 19:09:01 intranet-server CRON[20860]: pam_unix(cron:session): session closed for user root
24: Feb  6 19:17:01 intranet-server CRON[20935]: pam_unix(cron:session): session opened for user root by (uid=0)
25: Feb  6 19:17:01 intranet-server CRON[20935]: pam_unix(cron:session): session closed for user root
26: Feb  6 19:39:01 intranet-server CRON[21013]: pam_unix(cron:session): session opened for user root by (uid=0)
27: Feb  6 19:39:01 intranet-server CRON[21013]: pam_unix(cron:session): session closed for user root
28: Feb  6 20:09:01 intranet-server CRON[21018]: pam_unix(cron:session): session opened for user root by (uid=0)
29: Feb  6 20:09:01 intranet-server CRON[21018]: pam_unix(cron:session): session closed for user root
30: Feb  6 20:17:01 intranet-server CRON[21090]: pam_unix(cron:session): session opened for user root by (uid=0)
31: Feb  6 20:17:01 intranet-server CRON[21090]: pam_unix(cron:session): session closed for user root
