1: Feb  8 05:39:01 intranet-server CRON[27419]: pam_unix(cron:session): session closed for user root
2: Feb  8 06:09:01 intranet-server CRON[27489]: pam_unix(cron:session): session opened for user root by (uid=0)
3: Feb  8 06:09:01 intranet-server CRON[27489]: pam_unix(cron:session): session closed for user root
4: Feb  8 06:17:01 intranet-server CRON[27560]: pam_unix(cron:session): session opened for user root by (uid=0)
5: Feb  8 06:17:01 intranet-server CRON[27560]: pam_unix(cron:session): session closed for user root
6: Feb  8 06:25:01 intranet-server CRON[27618]: pam_unix(cron:session): session opened for user root by (uid=0)
7: Feb  8 06:25:12 intranet-server CRON[27618]: pam_unix(cron:session): session closed for user root
8: Feb  8 06:39:01 intranet-server CRON[27863]: pam_unix(cron:session): session opened for user root by (uid=0)
9: Feb  8 06:39:01 intranet-server CRON[27863]: pam_unix(cron:session): session closed for user root
10: Feb  8 07:09:01 intranet-server CRON[27939]: pam_unix(cron:session): session opened for user root by (uid=0)
11: Feb  8 07:09:01 intranet-server CRON[27939]: pam_unix(cron:session): session closed for user root
12: Feb  8 07:16:20 intranet-server sshd[28030]: Did not receive identification string from 10.237.1.238 port 49844
13: Feb  8 07:17:01 intranet-server CRON[28031]: pam_unix(cron:session): session opened for user root by (uid=0)
14: Feb  8 07:17:01 intranet-server CRON[28031]: pam_unix(cron:session): session closed for user root
15: Feb  8 07:39:01 intranet-server CRON[28075]: pam_unix(cron:session): session opened for user root by (uid=0)
16: Feb  8 07:39:01 intranet-server CRON[28075]: pam_unix(cron:session): session closed for user root
17: Feb  8 08:09:01 intranet-server CRON[28221]: pam_unix(cron:session): session opened for user root by (uid=0)
18: Feb  8 08:09:01 intranet-server CRON[28221]: pam_unix(cron:session): session closed for user root
19: Feb  8 08:17:01 intranet-server CRON[28300]: pam_unix(cron:session): session opened for user root by (uid=0)
20: Feb  8 08:17:01 intranet-server CRON[28300]: pam_unix(cron:session): session closed for user root
21: Feb  8 08:36:38 intranet-server su[28321]: Successful su for jward by www-data
22: Feb  8 08:36:38 intranet-server su[28321]: + /dev/pts/0 www-data:jward
23: Feb  8 08:36:38 intranet-server su[28321]: pam_unix(su:session): session opened for user jward by (uid=33)
24: Feb  8 08:36:38 intranet-server systemd-logind[935]: New session c1 of user jward.
25: Feb  8 08:36:38 intranet-server systemd: pam_unix(systemd-user:session): session opened for user jward by (uid=0)
26: Feb  8 08:36:54 intranet-server sudo:    jward : TTY=pts/0 ; PWD=/var/www/intranet.mannsmith.harrison.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=list
27: Feb  8 08:36:57 intranet-server sudo:    jward : TTY=pts/0 ; PWD=/var/www/intranet.mannsmith.harrison.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=/bin/cat /etc/shadow
28: Feb  8 08:36:57 intranet-server sudo: pam_unix(sudo:session): session opened for user root by (uid=0)
29: Feb  8 08:36:57 intranet-server sudo: pam_unix(sudo:session): session closed for user root
30: Feb  8 08:36:59 intranet-server sudo:    jward : TTY=pts/0 ; PWD=/var/www/intranet.mannsmith.harrison.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=/bin/ls -laR /root/
31: Feb  8 08:36:59 intranet-server sudo: pam_unix(sudo:session): session opened for user root by (uid=0)
32: Feb  8 08:36:59 intranet-server sudo: pam_unix(sudo:session): session closed for user root
33: Feb  8 08:37:08 intranet-server sudo:    jward : TTY=pts/0 ; PWD=/var/www/intranet.mannsmith.harrison.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=/bin/ls -l /home
34: Feb  8 08:37:08 intranet-server sudo: pam_unix(sudo:session): session opened for user root by (uid=0)
35: Feb  8 08:37:08 intranet-server sudo: pam_unix(sudo:session): session closed for user root
36: Feb  8 08:39:01 intranet-server CRON[28361]: pam_unix(cron:session): session opened for user root by (uid=0)
37: Feb  8 08:39:01 intranet-server CRON[28361]: pam_unix(cron:session): session closed for user root
38: Feb  8 09:09:01 intranet-server CRON[28436]: pam_unix(cron:session): session opened for user root by (uid=0)
39: Feb  8 09:09:01 intranet-server CRON[28436]: pam_unix(cron:session): session closed for user root
40: Feb  8 09:17:01 intranet-server CRON[28506]: pam_unix(cron:session): session opened for user root by (uid=0)
41: Feb  8 09:17:01 intranet-server CRON[28506]: pam_unix(cron:session): session closed for user root
42: Feb  8 09:39:01 intranet-server CRON[28528]: pam_unix(cron:session): session opened for user root by (uid=0)
43: Feb  8 09:39:01 intranet-server CRON[28528]: pam_unix(cron:session): session closed for user root
44: Feb  8 10:09:01 intranet-server CRON[28606]: pam_unix(cron:session): session opened for user root by (uid=0)
45: Feb  8 10:09:01 intranet-server CRON[28606]: pam_unix(cron:session): session closed for user root
46: Feb  8 10:17:01 intranet-server CRON[28674]: pam_unix(cron:session): session opened for user root by (uid=0)
47: Feb  8 10:17:01 intranet-server CRON[28674]: pam_unix(cron:session): session closed for user root
48: Feb  8 10:39:01 intranet-server CRON[28687]: pam_unix(cron:session): session opened for user root by (uid=0)
49: Feb  8 10:39:01 intranet-server CRON[28687]: pam_unix(cron:session): session closed for user root
50: Feb  8 11:09:01 intranet-server CRON[28782]: pam_unix(cron:session): session opened for user root by (uid=0)
51: Feb  8 11:09:01 intranet-server CRON[28782]: pam_unix(cron:session): session closed for user root
52: Feb  8 11:17:02 intranet-server CRON[28858]: pam_unix(cron:session): session opened for user root by (uid=0)
53: Feb  8 11:17:02 intranet-server CRON[28858]: pam_unix(cron:session): session closed for user root
54: Feb  8 11:39:02 intranet-server CRON[28875]: pam_unix(cron:session): session opened for user root by (uid=0)
55: Feb  8 11:39:02 intranet-server CRON[28875]: pam_unix(cron:session): session closed for user root
56: Feb  8 12:09:01 intranet-server CRON[28956]: pam_unix(cron:session): session opened for user root by (uid=0)
57: Feb  8 12:09:01 intranet-server CRON[28956]: pam_unix(cron:session): session closed for user root
58: Feb  8 12:17:01 intranet-server CRON[29026]: pam_unix(cron:session): session opened for user root by (uid=0)
59: Feb  8 12:17:01 intranet-server CRON[29026]: pam_unix(cron:session): session closed for user root
60: Feb  8 12:39:01 intranet-server CRON[29032]: pam_unix(cron:session): session opened for user root by (uid=0)
61: Feb  8 12:39:01 intranet-server CRON[29032]: pam_unix(cron:session): session closed for user root
62: Feb  8 13:09:01 intranet-server CRON[29112]: pam_unix(cron:session): session opened for user root by (uid=0)
63: Feb  8 13:09:01 intranet-server CRON[29112]: pam_unix(cron:session): session closed for user root
64: Feb  8 13:17:01 intranet-server CRON[29668]: pam_unix(cron:session): session opened for user root by (uid=0)
65: Feb  8 13:17:01 intranet-server CRON[29668]: pam_unix(cron:session): session closed for user root
66: Feb  8 13:39:01 intranet-server CRON[29675]: pam_unix(cron:session): session opened for user root by (uid=0)
67: Feb  8 13:39:01 intranet-server CRON[29675]: pam_unix(cron:session): session closed for user root
68: Feb  8 14:09:01 intranet-server CRON[29759]: pam_unix(cron:session): session opened for user root by (uid=0)
69: Feb  8 14:09:01 intranet-server CRON[29759]: pam_unix(cron:session): session closed for user root
70: Feb  8 14:17:01 intranet-server CRON[29886]: pam_unix(cron:session): session opened for user root by (uid=0)
71: Feb  8 14:17:01 intranet-server CRON[29886]: pam_unix(cron:session): session closed for user root
72: Feb  8 14:39:01 intranet-server CRON[29892]: pam_unix(cron:session): session opened for user root by (uid=0)
73: Feb  8 14:39:01 intranet-server CRON[29892]: pam_unix(cron:session): session closed for user root
74: Feb  8 15:08:01 intranet-server CRON[29973]: pam_unix(cron:session): session opened for user root by (uid=0)
75: Feb  8 15:08:01 intranet-server CRON[29973]: pam_unix(cron:session): session closed for user root
76: Feb  8 15:09:01 intranet-server CRON[29976]: pam_unix(cron:session): session opened for user root by (uid=0)
77: Feb  8 15:09:01 intranet-server CRON[29976]: pam_unix(cron:session): session closed for user root
78: Feb  8 15:17:01 intranet-server CRON[30046]: pam_unix(cron:session): session opened for user root by (uid=0)
79: Feb  8 15:17:01 intranet-server CRON[30046]: pam_unix(cron:session): session closed for user root
80: Feb  8 15:39:02 intranet-server CRON[30051]: pam_unix(cron:session): session opened for user root by (uid=0)
81: Feb  8 15:39:02 intranet-server CRON[30051]: pam_unix(cron:session): session closed for user root
82: Feb  8 16:09:01 intranet-server CRON[30154]: pam_unix(cron:session): session opened for user root by (uid=0)
83: Feb  8 16:09:01 intranet-server CRON[30154]: pam_unix(cron:session): session closed for user root
84: Feb  8 16:17:01 intranet-server CRON[30229]: pam_unix(cron:session): session opened for user root by (uid=0)
85: Feb  8 16:17:01 intranet-server CRON[30229]: pam_unix(cron:session): session closed for user root
86: Feb  8 16:39:01 intranet-server CRON[30240]: pam_unix(cron:session): session opened for user root by (uid=0)
87: Feb  8 16:39:01 intranet-server CRON[30240]: pam_unix(cron:session): session closed for user root
88: Feb  8 17:09:01 intranet-server CRON[30331]: pam_unix(cron:session): session opened for user root by (uid=0)
89: Feb  8 17:09:01 intranet-server CRON[30331]: pam_unix(cron:session): session closed for user root
90: Feb  8 17:17:01 intranet-server CRON[30406]: pam_unix(cron:session): session opened for user root by (uid=0)
91: Feb  8 17:17:01 intranet-server CRON[30406]: pam_unix(cron:session): session closed for user root
92: Feb  8 17:39:01 intranet-server CRON[30412]: pam_unix(cron:session): session opened for user root by (uid=0)
93: Feb  8 17:39:01 intranet-server CRON[30412]: pam_unix(cron:session): session closed for user root
