1: Feb  7 03:17:01 intranet-server CRON[3745]: pam_unix(cron:session): session closed for user root
2: Feb  7 03:39:01 intranet-server CRON[3753]: pam_unix(cron:session): session opened for user root by (uid=0)
3: Feb  7 03:39:01 intranet-server CRON[3753]: pam_unix(cron:session): session closed for user root
4: Feb  7 04:09:01 intranet-server CRON[3830]: pam_unix(cron:session): session opened for user root by (uid=0)
5: Feb  7 04:09:01 intranet-server CRON[3830]: pam_unix(cron:session): session closed for user root
6: Feb  7 04:17:01 intranet-server CRON[3913]: pam_unix(cron:session): session opened for user root by (uid=0)
7: Feb  7 04:17:01 intranet-server CRON[3913]: pam_unix(cron:session): session closed for user root
8: Feb  7 04:39:01 intranet-server CRON[3920]: pam_unix(cron:session): session opened for user root by (uid=0)
9: Feb  7 04:39:01 intranet-server CRON[3920]: pam_unix(cron:session): session closed for user root
10: Feb  7 05:09:01 intranet-server CRON[4057]: pam_unix(cron:session): session opened for user root by (uid=0)
11: Feb  7 05:09:01 intranet-server CRON[4057]: pam_unix(cron:session): session closed for user root
12: Feb  7 05:17:01 intranet-server CRON[4133]: pam_unix(cron:session): session opened for user root by (uid=0)
13: Feb  7 05:17:01 intranet-server CRON[4133]: pam_unix(cron:session): session closed for user root
14: Feb  7 05:39:01 intranet-server CRON[4137]: pam_unix(cron:session): session opened for user root by (uid=0)
15: Feb  7 05:39:01 intranet-server CRON[4137]: pam_unix(cron:session): session closed for user root
16: Feb  7 06:09:01 intranet-server CRON[4215]: pam_unix(cron:session): session opened for user root by (uid=0)
17: Feb  7 06:09:01 intranet-server CRON[4215]: pam_unix(cron:session): session closed for user root
18: Feb  7 06:17:01 intranet-server CRON[4297]: pam_unix(cron:session): session opened for user root by (uid=0)
19: Feb  7 06:17:01 intranet-server CRON[4297]: pam_unix(cron:session): session closed for user root
20: Feb  7 06:25:01 intranet-server CRON[4303]: pam_unix(cron:session): session opened for user root by (uid=0)
21: Feb  7 06:25:08 intranet-server CRON[4303]: pam_unix(cron:session): session closed for user root
22: Feb  7 06:39:01 intranet-server CRON[4551]: pam_unix(cron:session): session opened for user root by (uid=0)
23: Feb  7 06:39:01 intranet-server CRON[4551]: pam_unix(cron:session): session closed for user root
24: Feb  7 07:07:01 intranet-server CRON[4635]: pam_unix(cron:session): session opened for user root by (uid=0)
25: Feb  7 07:07:01 intranet-server CRON[4635]: pam_unix(cron:session): session closed for user root
26: Feb  7 07:09:01 intranet-server CRON[4639]: pam_unix(cron:session): session opened for user root by (uid=0)
27: Feb  7 07:09:01 intranet-server CRON[4639]: pam_unix(cron:session): session closed for user root
28: Feb  7 07:17:01 intranet-server CRON[4710]: pam_unix(cron:session): session opened for user root by (uid=0)
29: Feb  7 07:17:01 intranet-server CRON[4710]: pam_unix(cron:session): session closed for user root
30: Feb  7 07:39:01 intranet-server CRON[4745]: pam_unix(cron:session): session opened for user root by (uid=0)
31: Feb  7 07:39:01 intranet-server CRON[4745]: pam_unix(cron:session): session closed for user root
32: Feb  7 08:09:02 intranet-server CRON[4831]: pam_unix(cron:session): session opened for user root by (uid=0)
33: Feb  7 08:09:02 intranet-server CRON[4831]: pam_unix(cron:session): session closed for user root
34: Feb  7 08:17:01 intranet-server CRON[4913]: pam_unix(cron:session): session opened for user root by (uid=0)
35: Feb  7 08:17:01 intranet-server CRON[4913]: pam_unix(cron:session): session closed for user root
36: Feb  7 08:39:01 intranet-server CRON[4917]: pam_unix(cron:session): session opened for user root by (uid=0)
37: Feb  7 08:39:01 intranet-server CRON[4917]: pam_unix(cron:session): session closed for user root
38: Feb  7 09:09:01 intranet-server CRON[4997]: pam_unix(cron:session): session opened for user root by (uid=0)
39: Feb  7 09:09:01 intranet-server CRON[4997]: pam_unix(cron:session): session closed for user root
40: Feb  7 09:17:01 intranet-server CRON[5077]: pam_unix(cron:session): session opened for user root by (uid=0)
41: Feb  7 09:17:01 intranet-server CRON[5077]: pam_unix(cron:session): session closed for user root
42: Feb  7 09:39:01 intranet-server CRON[5087]: pam_unix(cron:session): session opened for user root by (uid=0)
43: Feb  7 09:39:01 intranet-server CRON[5087]: pam_unix(cron:session): session closed for user root
44: Feb  7 10:09:01 intranet-server CRON[5172]: pam_unix(cron:session): session opened for user root by (uid=0)
45: Feb  7 10:09:01 intranet-server CRON[5172]: pam_unix(cron:session): session closed for user root
46: Feb  7 10:17:01 intranet-server CRON[5248]: pam_unix(cron:session): session opened for user root by (uid=0)
47: Feb  7 10:17:01 intranet-server CRON[5248]: pam_unix(cron:session): session closed for user root
48: Feb  7 10:39:01 intranet-server CRON[5269]: pam_unix(cron:session): session opened for user root by (uid=0)
49: Feb  7 10:39:01 intranet-server CRON[5269]: pam_unix(cron:session): session closed for user root
50: Feb  7 10:59:15 intranet-server sshd[5860]: Did not receive identification string from 10.182.193.78 port 57692
51: Feb  7 11:09:01 intranet-server CRON[5869]: pam_unix(cron:session): session opened for user root by (uid=0)
52: Feb  7 11:09:01 intranet-server CRON[5869]: pam_unix(cron:session): session closed for user root
53: Feb  7 11:17:01 intranet-server CRON[5945]: pam_unix(cron:session): session opened for user root by (uid=0)
54: Feb  7 11:17:01 intranet-server CRON[5945]: pam_unix(cron:session): session closed for user root
55: Feb  7 11:39:01 intranet-server CRON[5993]: pam_unix(cron:session): session opened for user root by (uid=0)
56: Feb  7 11:39:01 intranet-server CRON[5993]: pam_unix(cron:session): session closed for user root
57: Feb  7 11:48:18 intranet-server su[6084]: Successful su for jwilkinson by www-data
58: Feb  7 11:48:18 intranet-server su[6084]: + /dev/pts/1 www-data:jwilkinson
59: Feb  7 11:48:18 intranet-server su[6084]: pam_unix(su:session): session opened for user jwilkinson by (uid=33)
60: Feb  7 11:48:18 intranet-server systemd-logind[1119]: New session c1 of user jwilkinson.
61: Feb  7 11:48:18 intranet-server systemd: pam_unix(systemd-user:session): session opened for user jwilkinson by (uid=0)
62: Feb  7 11:48:32 intranet-server sudo: jwilkinson : TTY=pts/1 ; PWD=/var/www/intranet.hallbrown.wilson.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=list
63: Feb  7 11:48:39 intranet-server sudo: jwilkinson : TTY=pts/1 ; PWD=/var/www/intranet.hallbrown.wilson.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=/bin/cat /etc/passwd
64: Feb  7 11:48:39 intranet-server sudo: pam_unix(sudo:session): session opened for user root by (uid=0)
65: Feb  7 11:48:39 intranet-server sudo: pam_unix(sudo:session): session closed for user root
